taxonid,assessmentid,assessmentyear,species_name,1.4 Forest - Temperate,1.4 Suitability,1.4 Importance,1.5 Forest - Subtropical/Tropical Dry,1.5 Suitability,1.5 Importance,1.6 Forest - Subtropical/Tropical Moist Lowland,1.6 Suitability,1.6 Importance,1.7 Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,1.7 Suitability,1.7 Importance,1.8 Forest - Subtropical/Tropical Swamp,1.8 Suitability,1.8 Importance,1.9 Forest - Subtropical/Tropical Moist Montane,1.9 Suitability,1.9 Importance,3.4 Shrubland - Temperate,3.4 Suitability,3.4 Importance,3.5 Shrubland - Subtropical/Tropical Dry,3.5 Suitability,3.5 Importance,3.7 Shrubland - Subtropical/Tropical High Altitude,3.7 Suitability,3.7 Importance,3.8 Shrubland - Mediterranean-type Shrubby Vegetation,3.8 Suitability,3.8 Importance,4.4 Grassland - Temperate,4.4 Suitability,4.4 Importance,"6 Rocky areas (eg. inland cliffs, mountain peaks)",6 Suitability,6 Importance,7.1 Caves and Subterranean Habitats (non-aquatic) - Caves,7.1 Suitability,7.1 Importance,7.2 Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,7.2 Suitability,7.2 Importance,8.2 Desert - Temperate,8.2 Suitability,8.2 Importance,14.1 Artificial/Terrestrial - Arable Land,14.1 Suitability,14.1 Importance,14.2 Artificial/Terrestrial - Pastureland,14.2 Suitability,14.2 Importance,14.3 Artificial/Terrestrial - Plantations,14.3 Suitability,14.3 Importance,14.4 Artificial/Terrestrial - Rural Gardens,14.4 Suitability,14.4 Importance,14.5 Artificial/Terrestrial - Urban Areas,14.5 Suitability,14.5 Importance,14.6 Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,14.6 Suitability,14.6 Importance,15.8 Artificial/Aquatic - Seasonally Flooded Agricultural Land,15.8 Suitability,15.8 Importance
2155,9300617,2008,Aselliscus stoliczkanus,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,1,Marginal,0,0,,,1,Marginal,0,0,,,0,,,1,Marginal,0,0,,
4316,22018444,2018,Chaerephon plicatus,0,,,1,Suitable,0,1,Suitable,0,0,,,0,,,1,Unknown,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,1,0,,,0,,,1,Suitable,0,0,,,1,Suitable,0,0,,,0,,,1,Suitable,0
10110,22097743,2018,Hipposideros armiger,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,0,0,,,0,,,0,,,0,,,1,Unknown,0,0,,,0,,,0,,
10136,22090092,2018,Hipposideros galeritus,0,,,1,Suitable,0,1,Suitable,0,1,Marginal,0,1,Marginal,0,1,Unknown,0,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,1,1,Suitable,1,0,,,0,,,0,,,1,Marginal,0,1,Unknown,0,0,,,0,,,0,,
180991219,180991293,2020,Hipposideros gentilis,0,,,0,,,1,Suitable,0,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,1,0,,,0,,,0,,,0,,,1,Marginal,0,1,Marginal,0,0,,,0,,
85646564,22091287,2020,Hipposideros larvatus,0,,,0,,,1,Suitable,0,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,1,1,Suitable,1,0,,,1,Marginal,0,1,Marginal,0,1,Marginal,0,1,Marginal,0,0,,,0,,,0,,
10145,22100391,2018,Hipposideros lylei,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,1,Marginal,0,0,,,0,,,1,Marginal,0,0,,
10155,22102257,2018,Hipposideros pratti,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
14919,22016159,2016,Nyctalus leisleri,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,1,Marginal,0,0,,,0,,
19520,21974227,2018,Rhinolophus acuminatus,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,Suitable,0,0,,,0,,,0,,,0,,,0,,,0,,,1,Marginal,0,0,,,0,,
